,count,mean,std,min,25%,50%,75%,max
dstip,20000.0,107.2344,180.20407717949004,1.0,1.0,10.0,143.0,952.0
srcip,20000.0,193.16565,174.6188915837642,1.0,57.0,155.0,290.0,954.0
time,20000.0,1654646408384.989,3096.2832100461583,1654646400041.0,1654646405701.5,1654646407081.0,1654646411716.0,1654646413026.0
bytes,20000.0,72.4285,31.429113528842336,40.0,67.0,67.0,79.0,1210.0
dstport,20000.0,38459.088,18653.03941802602,1024.0,34810.0,43582.0,51172.0,60986.0
asdu_address,20000.0,336.45025,2729.5796286374193,0.0,12.0,50.0,216.0,65535.0
srcport,20000.0,10219.69255,17264.70611627631,1024.0,2404.0,2404.0,2404.0,63904.0
asdu_cot,20000.0,2.45045,1.2039589998682132,0.0,3.0,3.0,3.0,20.0
asdu_items,20000.0,0.86895,0.7536605984890584,0.0,1.0,1.0,1.0,16.0
asdu_type,20000.0,28.5732,14.859689844647294,0.0,36.0,36.0,36.0,103.0
frame_fmt,20000.0,0.20095,0.4351764773380122,0.0,0.0,0.0,0.0,2.0
pkt_length,20000.0,21.44065,11.83135565462941,4.0,25.0,25.0,25.0,250.0
