srcip,dstip,dstport,count
57,1,34440,221
151,1,41882,209
183,1,45652,209
129,1,33040,194
161,8,45956,179
125,1,36478,175
58,18,53124,175
138,10,54648,174
130,1,51574,170
180,10,40288,169
7,8,50606,168
204,1,47192,168
9,10,53778,160
98,10,43582,153
195,1,50216,151
155,18,40262,151
36,1,44086,147
336,1,46686,144
150,18,58878,143
226,1,57928,142
128,18,34006,139
265,1,42576,135
331,10,38790,134
217,18,39092,134
389,10,59710,133
170,1,44102,133
182,10,47672,131
75,1,50862,130
158,18,59622,128
168,1,39502,126
122,1,57130,122
148,1,47496,121
164,1,41876,120
202,18,44612,120
378,10,41502,119
17,1,42896,119
39,18,47578,116
338,1,34454,114
177,1,35986,109
82,18,59582,108
106,1,34810,106
207,1,56756,106
54,18,43354,106
101,10,42336,102
188,10,46402,101
266,10,52424,100
5,6,36410,100
53,8,41228,99
159,18,48736,98
173,10,60640,97
81,18,42406,96
121,10,49812,95
142,18,40904,95
462,463,53844,91
96,97,50884,90
186,1,45246,89
103,1,58792,87
325,324,56902,85
401,402,40210,83
190,1,46058,81
287,18,35726,80
203,1,59272,78
290,291,55824,77
326,327,37820,77
41,18,38946,77
72,1,59948,76
357,358,33202,75
199,18,43070,75
107,10,46834,74
83,10,59464,73
386,10,47788,71
71,8,37972,69
112,18,32788,68
391,392,44480,67
85,1,44914,66
270,271,46728,64
152,1,52954,64
163,1,57498,63
34,1,38056,62
300,10,55158,62
141,18,47868,62
166,1,43452,61
455,8,34806,60
303,1,55034,60
305,306,54508,59
165,10,43060,59
500,501,46420,57
430,431,44706,56
301,302,49210,56
390,8,59992,56
567,568,47194,55
316,317,45112,55
108,1,35512,55
35,18,59018,54
382,383,53632,54
47,1,34772,53
119,120,38452,53
285,286,50332,52
3,4,57592,51
216,1,46720,51
160,10,51692,51
284,10,36810,50
105,104,57858,50
102,10,52680,50
140,18,47222,50
135,1,36030,50
365,366,56358,50
61,1,55802,50
111,10,60370,49
113,8,52824,48
65,1,49936,48
507,508,58528,47
414,413,49516,47
62,10,45648,46
213,18,52022,46
227,1,36086,44
473,474,33030,43
344,345,51056,43
415,413,50568,43
65,18,58246,42
214,1,57592,42
278,1,40682,42
258,259,50426,40
29,18,33156,40
308,1,46782,40
63,1,48396,40
442,443,56030,39
69,70,39002,38
379,380,57716,37
51,1,36090,37
15,1,59728,37
514,8,33030,37
224,225,33698,36
208,18,60162,35
385,18,46014,35
240,1,37192,35
55,1,44926,35
157,1,45094,34
74,1,49514,34
132,18,44902,34
65,66,35976,33
16,10,40308,32
330,1,57742,32
469,8,55818,32
30,31,59374,32
298,299,44596,32
123,124,60588,32
2,1,57528,31
56,1,48502,31
80,10,47670,31
73,18,33824,31
46,18,55550,31
1,151,2404,31
64,10,40386,31
52,10,45154,30
255,1,58366,30
322,1,35344,30
496,495,46782,30
352,1,48712,30
209,1,49960,29
133,1,49192,29
444,445,55620,29
145,146,45990,29
267,268,36086,29
192,1,40844,29
211,1,60662,29
363,364,36492,29
244,10,42002,28
425,426,35890,28
28,10,52250,28
289,1,49894,28
67,68,38594,28
20,1,50064,28
347,18,39220,28
262,1,46820,28
359,8,38848,28
274,273,60662,27
477,478,37192,27
288,10,53392,27
59,1,37146,27
18,150,2404,27
436,8,59374,27
372,18,55258,27
476,8,36492,26
8,7,2404,26
154,18,36410,26
114,115,54336,26
297,296,60666,26
494,8,55620,26
282,283,49192,26
167,1,39576,26
90,91,59102,26
10,9,2404,26
417,416,36742,25
483,8,36742,25
233,234,39852,25
1,183,2404,25
1,57,2404,25
8,161,2404,24
242,243,41702,24
60,18,54038,24
21,10,44970,24
12,1,55350,24
556,10,45974,24
143,144,39962,23
310,1,37006,23
19,18,53348,23
11,10,57720,23
18,58,2404,23
497,1,58172,23
435,434,49820,23
464,8,39852,22
349,348,33676,22
269,1,43662,22
76,77,51264,22
185,10,52868,22
314,313,2404,22
313,314,2404,22
10,138,2404,22
205,18,43500,22
230,1,37088,21
245,1,54852,21
1,129,2404,21
95,94,56118,21
1,125,2404,21
23,1,47588,21
116,1,33690,21
328,329,40972,20
109,110,42210,20
337,1,42698,20
235,1,57590,20
1,336,2404,20
518,519,32856,20
10,180,2404,20
480,8,41702,19
1,130,2404,19
497,18,34490,19
490,491,35316,19
396,397,45066,19
50,49,41308,19
18,155,2404,19
93,18,53306,19
482,481,39576,19
1,36,2404,18
248,249,38424,18
194,10,59282,18
1,195,2404,18
18,128,2404,18
504,8,39962,18
1,122,2404,18
276,277,46820,18
8,548,49728,18
44,1,35270,17
189,1,34958,17
18,217,2404,17
10,389,2404,17
174,175,54004,17
10,25,2404,17
257,1,48694,17
134,1,37748,17
137,548,49728,17
1,17,2404,16
10,121,2404,16
156,1,42472,16
25,10,50750,16
520,521,60676,16
433,432,46018,16
10,182,2404,16
528,8,60676,16
1,164,2404,16
222,223,37480,16
45,18,43882,16
407,8,40144,16
505,8,56118,16
1,204,2404,15
153,1,54004,15
18,158,2404,15
10,378,2404,15
538,8,48138,15
10,331,2404,15
1,186,2404,15
18,202,2404,15
37,38,51770,15
198,1,40696,15
1,157,2404,15
1,47,2404,15
315,18,40076,15
318,1,53830,15
321,1,57554,15
616,8,40972,15
368,367,59454,15
247,1,37478,15
350,351,37748,15
1,166,2404,15
18,82,2404,15
1,168,2404,15
18,142,2404,14
510,511,44232,14
607,608,44845,14
18,39,2404,14
353,354,54976,14
1,265,2404,14
18,54,2404,14
1,170,2404,14
1,75,2404,14
1,55,2404,14
10,107,2404,14
1,214,2404,14
395,394,43666,14
574,575,44550,14
10,101,2404,14
6,5,2404,14
402,401,2404,14
1,106,2404,13
439,8,38152,13
8,53,2404,13
117,118,37612,13
1,85,2404,13
560,561,38152,13
10,11,2404,13
1,177,2404,13
1,34,2404,13
333,334,50686,13
1,56,2404,13
509,8,42080,13
526,8,36104,13
10,266,2404,13
448,449,48694,13
497,499,48030,13
10,102,2404,13
236,10,41900,13
99,100,42080,13
1,338,2404,13
1,226,2404,13
1,61,2404,12
1,108,2404,12
1,209,2404,12
10,165,2404,12
1,207,2404,12
1,190,2404,12
1,135,2404,12
1,189,2404,12
577,576,44878,12
1,152,2404,12
572,573,53166,12
10,98,2404,12
515,8,49712,12
4,3,2404,12
