srcip,dstip,count
57,1,221
151,1,209
183,1,209
129,1,194
161,8,179
125,1,175
58,18,175
138,10,174
130,1,170
180,10,169
7,8,168
204,1,168
9,10,160
98,10,153
195,1,151
155,18,151
36,1,147
336,1,144
150,18,143
226,1,142
128,18,139
265,1,135
331,10,134
217,18,134
389,10,133
170,1,133
182,10,131
75,1,130
158,18,128
168,1,126
122,1,122
148,1,121
164,1,120
202,18,120
378,10,119
17,1,119
39,18,116
338,1,114
177,1,109
82,18,108
106,1,106
207,1,106
54,18,106
101,10,102
188,10,101
266,10,100
5,6,100
53,8,99
159,18,98
173,10,97
81,18,96
121,10,95
142,18,95
462,463,91
96,97,90
186,1,89
103,1,87
325,324,85
401,402,83
190,1,81
287,18,80
203,1,78
290,291,77
326,327,77
41,18,77
72,1,76
357,358,75
199,18,75
107,10,74
83,10,73
386,10,71
71,8,69
112,18,68
391,392,67
85,1,66
270,271,64
152,1,64
163,1,63
34,1,62
300,10,62
141,18,62
166,1,61
455,8,60
303,1,60
305,306,59
165,10,59
500,501,57
430,431,56
301,302,56
390,8,56
567,568,55
316,317,55
108,1,55
35,18,54
382,383,54
47,1,53
119,120,53
285,286,52
3,4,51
216,1,51
160,10,51
284,10,50
105,104,50
102,10,50
140,18,50
135,1,50
365,366,50
61,1,50
111,10,49
113,8,48
65,1,48
507,508,47
414,413,47
62,10,46
213,18,46
227,1,44
473,474,43
344,345,43
415,413,43
65,18,42
214,1,42
278,1,42
258,259,40
29,18,40
308,1,40
63,1,40
442,443,39
69,70,38
379,380,37
51,1,37
15,1,37
514,8,37
224,225,36
208,18,35
385,18,35
240,1,35
55,1,35
157,1,34
74,1,34
132,18,34
65,66,33
16,10,32
330,1,32
469,8,32
30,31,32
298,299,32
123,124,32
2,1,31
56,1,31
80,10,31
73,18,31
46,18,31
1,151,31
64,10,31
52,10,30
255,1,30
322,1,30
496,495,30
352,1,30
209,1,29
133,1,29
444,445,29
145,146,29
267,268,29
192,1,29
211,1,29
363,364,29
244,10,28
425,426,28
28,10,28
289,1,28
67,68,28
20,1,28
347,18,28
262,1,28
359,8,28
274,273,27
477,478,27
288,10,27
59,1,27
18,150,27
436,8,27
372,18,27
476,8,26
8,7,26
154,18,26
114,115,26
297,296,26
494,8,26
282,283,26
167,1,26
90,91,26
10,9,26
417,416,25
483,8,25
233,234,25
1,183,25
1,57,25
8,161,24
242,243,24
60,18,24
21,10,24
12,1,24
556,10,24
143,144,23
310,1,23
19,18,23
11,10,23
18,58,23
497,1,23
435,434,23
464,8,22
349,348,22
269,1,22
76,77,22
185,10,22
314,313,22
313,314,22
10,138,22
205,18,22
230,1,21
245,1,21
1,129,21
95,94,21
1,125,21
23,1,21
116,1,21
328,329,20
109,110,20
337,1,20
235,1,20
1,336,20
518,519,20
10,180,20
480,8,19
1,130,19
497,18,19
490,491,19
396,397,19
50,49,19
18,155,19
93,18,19
482,481,19
1,36,18
248,249,18
194,10,18
1,195,18
18,128,18
504,8,18
1,122,18
276,277,18
8,548,18
44,1,17
189,1,17
18,217,17
10,389,17
174,175,17
10,25,17
257,1,17
134,1,17
137,548,17
1,17,16
